createdAt;description;price;sku;updatedAt
1667870535.3518095;Jelly donut Test By Johny H;2.44;test_for_johny;1667870535.3518095
1648224853.9199462;Modified test;1.29;E0iFJZYZEhw6qA8vPcAR;1648224853.9199462
1648561456.7307506;Modified test;1.29;0WJkAwUjaC6EASTDl9iB;1648561456.7307506
1648561255.7594857;Test singular GET;14.77;4s86m4E8wTdeYxqbJ9df;1648561255.7594857
1693088460.9282932;Jelly donut;2.99;berliner;1693088460.9282932
1667869532.1755817;jh donut;20.99;jahongir test;1667869532.1755817
1648562644.1651564;Modified test;1.29;JN7VSR9IKLWGnm741i8i;1648562644.1651564
1668054562.9849727;weed whacker;225;a11d0a37-03dd-4df1-ba4a-0ad5eb01b77e;1668054562.9849727
1650477153.7936492;sledge hammer;14.00;770-667-NV4501;1650477153.7936492
1648563044.5228236;Test Thing;3.22;ahlhKgOfQ5BV3U0Nbw76;1648563044.5228236
1648223613.1566544;Test singular GET;14.77;o2GOb6PAx9QoJwrbKuga;1648223613.1566544
1648561523.4086776;Test delete SKU;3.33;asIYgKcBiUSKI0UBm01A;1648561523.4086776
1648222923.3309052;Test Thing;3.22;2qbr8O8lEU9lJFDFWdPW;1648222923.3309052
1648219299.3419127;Test Thing;3.22;cpn4xDVJpkJBgRlIXGE9;1648219299.3419127
1650477156.1544223;Lambourghini;233149.99;Doughnut;1650477156.1544223
1648222753.495015;Modified test;1.29;ZSdNMIUwcIy4cw4DCivC;1648222753.495015
1648223650.9080167;Modified test;1.29;QBx7wSY0T2CDvUCtxYUp;1648223650.9080167
1648219269.6501708;Test Thing;3.22;UdWLrXsg9KS5d5ikO3v6;1648219269.6501708
1649970340.445222;{{description}};{{price}};{{sku}};1649970340.445222
1648222393.0898035;Test Thing;3.22;rvlNrwaKBfIBrtgnHnfc;1648222393.0898035
1648222923.8410273;Test singular GET;14.77;5q9xQIT18V4hRiC6AOlK;1648222923.8410273
1648564249.7985907;Modified test;1.29;0znzPUdXAaSIBlHcDD7G;1648564249.7985907
1667849972.8466723;Green apple;3.99;new yorker;1667849972.8466723
1648561454.6640885;Test delete SKU;3.33;sdDKGf0MYl0Pgzpj5ISD;1648561454.6640885
1648222924.2540402;Modified test;1.29;bQwb9Ej5OgnwpijT4EJr;1648222924.2540402
1668258247.931288;lawn mower;325;48480b05-85c4-45e3-84fc-c9d2adc55f64;1668258247.931288
1648222468.66197;Test Thing;3.22;Yqn70xBhxe4qsqOBUhmj;1648222468.66197
1648563045.6106446;Test singular GET;14.77;BHed0umqicVJrw8GQXxa;1648563045.6106446
1648562643.1428757;Test delete SKU;3.33;QNLC3OPcQrZ3Iw3tQf3v;1648562643.1428757
1648222547.5018182;Test singular GET;14.77;yewa9ZxUObcxidJpXFZ5;1648222547.5018182
1650585472.2202373;Apple;1.29;0;1650585472.2202373
1667850840.284735;Red apple;3.99;1234567ko;1667850840.284735
1648564258.6006742;Test singular GET;14.77;ezGeus6syyW5vUuQC1Dh;1648564258.6006742
1648222884.611743;Test singular GET;14.77;FArExZhhs265pZMfm4vo;1648222884.611743
1651000007.9246287;orange creamsicle;.20;5;1651000007.9246287
1656031676.73187;Jelly donuts;2.99;berliner3;1656031676.73187
1651000007.8832967;Nutty Buddy;.50;4;1651000007.8832967
1668258246.3335023;weed whacker;225;yoohoohoo12345;1668258246.3335023
1648223970.389003;Test Thing;3.22;LMP1ny5jhsWO46fpBruG;1648223970.389003
1648220854.3184068;Test Thing;3.22;0ZdQ65SYvXK3aNvexe8i;1648220854.3184068
1650477141.8957798;hammer;5.97;770-667-NV4510;1650477141.8957798
1648221055.1496415;Test singular GET;14.77;RyEE9IHBPm4kFqy3u5Od;1648221055.1496415
1648563046.5242317;Modified test;1.29;RX9oM64DOJ4IZSHr9SxV;1648563046.5242317
1648563512.2382512;Modified test;1.29;y6kOjRAbx6IMWqz2N6kT;1648563512.2382512
1648563804.2004952;Modified test;1.29;K9rz63QvCwmhcd0Bwagc;1648563804.2004952
1648224528.7886546;Test Thing;3.22;nfT5YPLNwARsJJw09prP;1648224528.7886546
1648221054.5895555;Test Thing;3.22;HQtMJVP6HhPsQkRtpzeK;1648221054.5895555
1648577447.2714088;Test delete SKU;3.33;6JJJ36ewKUSqUdHiVaBP;1648577447.2714088
1648561456.260096;Test singular GET;14.77;FqsjmThnpxsXaFSmI7TI;1648561456.260096
1648563798.9048471;Test delete SKU;3.33;WhPzgEetVwZMDQP33H7u;1648563798.9048471
1668054481.5074122;weed whacker;225;CgBhEbWQbJsTZ7ZIPiCG;1668054481.5074122
1648224891.808462;Test singular GET;14.77;h55d7o5jrJsrrDmORveW;1648224891.808462
1648564293.8439543;Modified test;1.29;43ePPrUfXT0j87KGJ4i1;1648564293.8439543
1668049952.9698772;weed whacker;225;08520464-ffb5-4701-b1f3-b2d2f65025ab;1668049952.9698772
1668043221.8532531;Jelly donut;11.99;999888777;1668043221.8532531
1648224534.5307097;Test singular GET;14.77;4CuocRdihcexhg7lIrNr;1648224534.5307097
1648224498.1140935;Test delete SKU;3.33;8MgEmj7VYeLfhBaGh8uR;1648224498.1140935
1648563229.3637779;Modified test;1.29;nQNanB1CTJHlWR131wO3;1648563229.3637779
1648577450.1478226;Modified test;1.29;rT44Mco9u4p6DFEGfAiN;1648577450.1478226
1648221080.4505477;Test singular GET;14.77;wvALVa6yXO0Vnu5iZQiG;1648221080.4505477
1648564242.8385015;Test Thing;3.22;0YetPag0e4B6ZTN0zgLY;1648564242.8385015
1648221248.127098;Test singular GET;14.77;qubFTwCTxbrkZ5NMYTvT;1648221248.127098
1667859257.7331443;not so Jelly donut;-2.99;ic_test;1667859257.7331443
1648268622.3772566;Test Thing;3.22;gv5XwGb97zbxZQvgIoB2;1648268622.3772566
1648564291.1180449;Test Thing;1.22;zMzC6mFw9sdZWxK1xwCA;1648564291.1180449
1648561524.867572;Modified test;1.29;J05dZf9V3UymETj4W3l7;1648561524.867572
1648224890.9670296;Test Thing;3.22;QQ2EqN1imyQs9WhI3BeD;1648224890.9670296
1648222780.1456728;Modified test;1.29;IvlqSocpWFpwB3uXhfFN;1648222780.1456728
1648224852.6891134;Test delete SKU;3.33;ptraLvvXvzlsnB95ZDZ5;1648224852.6891134
1648563511.8366036;Test singular GET;14.77;XOHhbM5SJjgHw2Tuf5ZF;1648563511.8366036
1648222469.652256;Test singular GET;14.77;9JrfPlXSqHBuV5l8JdgJ;1648222469.652256
1648562363.6382096;Modified test;1.29;5zKJZINJKS9xLmshiACm;1648562363.6382096
1651000007.8618798;single scoop cone;.50;7;1651000007.8618798
1648562359.8033466;Test delete SKU;3.33;XhPWbz3tdoGz9jciuj4n;1648562359.8033466
1648577446.3676941;Test Thing;1.22;asHXqHymYl5BioSvhBFs;1648577446.3676941
1648564257.8546433;Test delete SKU;3.33;SjM5lD0YY3BoYgXlgMsW;1648564257.8546433
1651000007.8639956;single scoop cup;.40;3;1651000007.8639956
1648209297.1239545;Jelly donut;2.99;berliner90182;1648209297.1239545
1648562643.7470698;Test singular GET;14.77;m8FCCd92gvpXY9yihetE;1648562643.7470698
1648219424.2435944;Test Thing;3.22;QJvHUfktMr9BAjnxqWYQ;1648219424.2435944
1648223612.0266075;Test delete SKU;3.33;jwBgArl9FVLTz3eCQ4wm;1648223612.0266075
1668039868.9965312;Jelly donut1;3.99;1234554321;1668039868.9965312
1648268625.433856;Modified test;1.29;rPLljciVcZvEr17rxN1l;1648268625.433856
1648209345.6914284;Jelly donut;2.99;berliner90182zx;1648209345.6914284
1664769102.426205;test item;99.99;123;1664769102.426205
1648223868.9375665;Test Thing;3.22;4shmEdFj1Scu7V4PMoJP;1648223868.9375665
1665700956.5708203;Walkman;5.99;Sony;1665700956.5708203
1648220207.3729184;Test Thing;3.22;naKJ5IE93mMpSUYq8q9w;1648220207.3729184
1648224534.9181721;Modified test;1.29;TwKOIHZkfrTLJfU4gpyq;1648224534.9181721
1648223870.3401952;Modified test;1.29;D2FyFY4WxYirvoV7J5Y9;1648223870.3401952
1648224497.9365401;Test Thing;3.22;ET9eoDw1xbAMcTXnS1Pu;1648224497.9365401
1668052273.2653546;lawn mower;325;xLsVNerKF5k1DRvaJ5p4;1668052273.2653546
1648223970.5665233;Test delete SKU;3.33;ZnKiV9SqSiDtyfMJUO6v;1648223970.5665233
1648222779.2739248;Test Thing;3.22;tkxdkSZMalanLvWsbvaW;1648222779.2739248
1648563535.354585;Test Thing;3.22;t3NXEooBysteqFDCJS4l;1648563535.354585
1648224853.5424223;Test singular GET;14.77;U6eiSOCYjjrx2EfPXrFk;1648224853.5424223
1668054481.240705;lawn mower;325;jahongir test 2;1668054481.240705
1648222667.0249321;Test modify SKU;14.77;YENvAWRygGtVPct0gv4C;1648222667.0249321
1648560874.1993809;Modified test;1.29;3se4Jnnzm1qGxL3tnOPM;1648560874.1993809
1648224501.4733424;Test singular GET;14.77;ZxoaVlNKEdLBQfeMIMM2;1648224501.4733424
1648220240.0969343;Test Thing;3.22;4l2SSFvW8ba5XZjRXA1k;1648220240.0969343
1648221247.4893897;Test Thing;3.22;CPeo1UICA3klKa10Q7wZ;1648221247.4893897
1648563540.3946872;Test singular GET;14.77;fIKnyvma4VHWVnPI3B5O;1648563540.3946872
1648564249.4148836;Test singular GET;14.77;tXesbR62PuksTG9xN8Xa;1648564249.4148836
1650477141.0376976;Nails;30.95;770-667-NV3000;1650477141.0376976
1648224558.457418;Modified test;1.29;zQ9zo3iwySUwvfk6JwTQ;1648224558.457418
1648562359.615565;Test Thing;3.22;2bYFKV87Mrz0hRgJLiFp;1648562359.615565
1650477154.42347;100 dollar discount;-100;999-999-TH100;1650477154.42347
1648221276.9946544;Test Thing;3.22;jZhrRIFfoIRCFKdLSTlR;1648221276.9946544
1648577449.7087634;Test singular GET;14.77;0I0QuPAShuoFmNHqfKod;1648577449.7087634
1648222697.8293357;Test Thing;3.22;h765hnirkpwhIWCvQF3g;1648222697.8293357
1668049966.653847;lawn mower;325;8bc6c8c7-7f10-4ab5-a095-746dc3a18408;1668049966.653847
1648222752.9580197;Test singular GET;14.77;3qxeGJOrFRaoid3CKeBo;1648222752.9580197
1648218838.0954692;Test Thing;3.22;thing12345;1648218838.0954692
1648561252.7856674;Test Thing;3.22;d9TjwzYI8DbMxiMh1vQg;1648561252.7856674
